miR	Score	AvgRandScore	sd(randScore)	max(randScore)	Rank	count>=	pValue	FDR(0.05) thresh	BH-sig	pv_corrected	pv_adjusted
miR-1193-3p/1421x	0.2083	0.0762	0.0700	0.3848	31	50	0.049900	0.004844	0	0.515099	0.515099	,SOCS3,MBL2,DUSP5
miR-411	0.1250	0.0369	0.0486	0.3316	32	54	0.053892	0.005000	0	0.538922	0.538922	,ARRDC3,MBL2
miR-29abcd	0.2917	0.1218	0.0994	0.8067	33	61	0.060878	0.005156	0	0.590334	0.590334	,GPCPD1,FOS,ARRDC3
miR-203	0.3472	0.1687	0.1077	0.5979	34	64	0.063872	0.005313	0	0.601151	0.601151	,GPCPD1,EGR1,SOCS3,DUSP5
miR-207	0.2778	0.1332	0.0939	0.7025	35	68	0.067864	0.005469	0	0.620473	0.620473	,LCK,CYR61,SOCS3,DUSP5
miR-467f/4789-5p	0.2778	0.1295	0.0979	0.5910	36	71	0.070858	0.005625	0	0.629851	0.623144	,GPCPD1,ANKRD1,SNX3,ARRDC3,MBL2
miR-501-3p/502-3p/500/502a	0.1389	0.0495	0.0538	0.3215	37	74	0.073852	0.005781	0	0.638723	0.623144	,FOS,IL11
miR-883ab-3p	0.2083	0.0885	0.0779	0.4627	38	76	0.075848	0.005938	0	0.638723	0.623144	,SNX3,ARRDC3,TMSB4X
miR-1756b/1896	0.2917	0.1475	0.0964	0.6849	39	77	0.076846	0.006094	0	0.630534	0.623144	,FOS,IL11,ARRDC3,MBL2
miR-877	0.1389	0.0534	0.0597	0.3574	40	79	0.078842	0.006250	0	0.630739	0.623144	,ANKRD1,EGR1
miR-331-5p	0.1250	0.0419	0.0517	0.3697	41	80	0.079840	0.006406	0	0.623144	0.623144	,CYR61,FOS
miR-22/22-3p	0.2361	0.0992	0.0891	0.8431	42	82	0.081836	0.006563	0	0.623515	0.623515	,CYR61,SOCS3
miR-2428/3473b/3652/4430	0.2639	0.1311	0.0970	0.6159	43	88	0.087824	0.006719	0	0.653577	0.631928	,ANKRD1,SNX3,SOCS3
miR-448/448-3p	0.2222	0.0996	0.0852	0.5934	44	88	0.087824	0.006875	0	0.638723	0.631928	,ARRDC3,TMSB4X
miR-142-5p	0.2639	0.1337	0.0935	0.5466	45	91	0.090818	0.007031	0	0.645819	0.631928	,SNX3,FOS,ARRDC3
miR-129-5p/129ab-5p	0.2778	0.1341	0.1080	0.9056	46	92	0.091816	0.007188	0	0.638723	0.631928	,ANXA3,FOS,DUSP5
miR-377/672	0.1389	0.0586	0.0600	0.3958	47	93	0.092814	0.007344	0	0.631928	0.631928	,GPCPD1
miR-1903/4778-3p	0.2500	0.1291	0.0964	0.7796	48	104	0.103792	0.007500	0	0.691949	0.691949	,SNX3,EGR1,ARRDC3
miR-208ab/208ab-3p	0.1111	0.0464	0.0519	0.3872	49	110	0.109780	0.007656	0	0.716933	0.707604	,GPCPD1,ARRDC3
miR-1197	0.1944	0.0951	0.0808	0.5688	50	113	0.112774	0.007812	0	0.721756	0.707604	,SNX3,ARRDC3,DUSP5
miR-653	0.1528	0.0644	0.0638	0.2887	51	113	0.112774	0.007969	0	0.707604	0.707604	,ARRDC3,MBL2
miR-33a-3p/365/365-3p	0.1250	0.0533	0.0591	0.3747	52	117	0.116766	0.008125	0	0.718563	0.718563	,ARRDC3
miR-1843/3475	0.2639	0.1425	0.1066	0.6462	53	123	0.122754	0.008281	0	0.741159	0.719830	,IGFBP6,EGR1,SOCS3
miR-1ab/206/613	0.2083	0.1071	0.0882	0.5083	54	128	0.127745	0.008438	0	0.757005	0.719830	,CYR61,ARRDC3,TMSB4X
miR-19ab	0.2361	0.1332	0.0963	0.5293	55	130	0.129741	0.008594	0	0.754854	0.719830	,GPCPD1,ARRDC3,SOCS3
miR-144	0.2361	0.1255	0.0906	0.5503	56	130	0.129741	0.008750	0	0.741374	0.719830	,GPCPD1,FOS,ARRDC3
miR-540-3p	0.1806	0.0908	0.0764	0.4269	57	133	0.132735	0.008906	0	0.745176	0.719830	,GPCPD1,ARRDC3,MBL2
miR-1964-5p/3135b	0.2083	0.1131	0.0918	0.5464	58	136	0.135729	0.009063	0	0.748847	0.719830	,GPCPD1,SOCS3
miR-597/1970	0.1389	0.0676	0.0643	0.3445	59	137	0.136727	0.009219	0	0.741568	0.719830	,EGR1,FOS
miR-137/137ab	0.1944	0.1046	0.0847	0.5712	60	139	0.138723	0.009375	0	0.739854	0.719830	,GPCPD1,DUSP5
miR-574-5p	0.1389	0.0665	0.0660	0.4049	61	139	0.138723	0.009531	0	0.727725	0.719830	,GPCPD1,SNX3
miR-582-5p.dmrz	0.1806	0.0968	0.0772	0.4556	62	141	0.140719	0.009687	0	0.726289	0.719830	,GPCPD1,ARRDC3,DUSP5
miR-221/222/222ab/1928	0.1528	0.0765	0.0722	0.4870	63	142	0.141717	0.009844	0	0.719830	0.719830	,FOS,ARRDC3
miR-505/505-3p	0.1250	0.0587	0.0653	0.3578	64	151	0.150699	0.010000	0	0.753493	0.740338	,SNX3,IL11
miR-297ac/297b-5p	0.1250	0.0629	0.0680	0.5936	65	152	0.151697	0.010156	0	0.746814	0.740338	,ARRDC3
miR-1224-5p/1671	0.1528	0.0808	0.0732	0.5769	66	153	0.152695	0.010313	0	0.740338	0.740338	,FOS,IL11
miR-1953/3153	0.2639	0.1644	0.1067	0.8085	67	156	0.155689	0.010469	0	0.743587	0.743587	,GPCPD1,ANKRD1,ARRDC3,SOCS3
miR-670	0.2222	0.1364	0.0975	0.7056	68	159	0.158683	0.010625	0	0.746742	0.743829	,CYP24A1,IL11,DUSP5
miR-7/7ab	0.2083	0.1240	0.0890	0.5144	69	167	0.166667	0.010781	0	0.772947	0.743829	,ANKRD1,FOS,IL11
miR-871-5p/892b	0.1944	0.1071	0.0878	0.4649	70	170	0.169661	0.010937	0	0.775592	0.743829	,ANKRD1,FOS,ARRDC3
miR-379/1193-5p/3529	0.0833	0.0391	0.0495	0.3242	71	171	0.170659	0.011094	0	0.769166	0.743829	,LCK
miR-10abc/10a-5p	0.1250	0.0648	0.0640	0.3849	72	175	0.174651	0.011250	0	0.776225	0.743829	,GPCPD1,ARRDC3
miR-101/101ab	0.1944	0.1168	0.0898	0.7259	73	179	0.178643	0.011406	0	0.783091	0.743829	,GPCPD1,FOS,ARRDC3
miR-601/5135	0.0833	0.0396	0.0513	0.3545	74	179	0.178643	0.011562	0	0.772509	0.743829	,DUSP5
miR-664/664b	0.2083	0.1247	0.0962	0.7386	75	180	0.179641	0.011719	0	0.766467	0.743829	,GPCPD1,CYP24A1,ARRDC3
miR-3090/4726-3p	0.2083	0.1277	0.0948	0.6616	76	181	0.180639	0.011875	0	0.760584	0.743829	,IL11,SOCS3
miR-499-5p	0.1389	0.0790	0.0717	0.4302	77	182	0.181637	0.012031	0	0.754854	0.743829	,GPCPD1,ARRDC3
miR-493/493b	0.1111	0.0606	0.0599	0.3523	78	182	0.181637	0.012188	0	0.745176	0.743829	,GPCPD1,IGFBP6
miR-23abc/23b-3p	0.2361	0.1535	0.1005	0.5934	79	184	0.183633	0.012344	0	0.743829	0.743829	,EGR1,IL11,DUSP5
miR-1348/1839/1839-5p/3927	0.1250	0.0698	0.0696	0.4621	80	188	0.187625	0.012500	0	0.750499	0.749119	,GPCPD1,ARRDC3
miR-342-5p/4664-5p	0.1389	0.0793	0.0781	0.4613	81	190	0.189621	0.012656	0	0.749119	0.749119	,IL11,SOCS3
miR-190/190ab	0.0694	0.0353	0.0459	0.3366	82	199	0.198603	0.012813	0	0.775035	0.757555	,IL11
miR-1188/1188-5p	0.1111	0.0634	0.0634	0.3730	83	200	0.199601	0.012969	0	0.769545	0.757555	,LCK,FOS
miR-568	0.1389	0.0800	0.0752	0.4444	84	204	0.203593	0.013125	0	0.775592	0.757555	,ARRDC3
miR-344g-3p/3542	0.1389	0.0842	0.0778	0.5674	85	204	0.203593	0.013281	0	0.766467	0.757555	,GPCPD1,CYP24A1
miR-139-5p	0.1389	0.0841	0.0732	0.4796	86	204	0.203593	0.013437	0	0.757555	0.757555	,FOS,ARRDC3
miR-196abc	0.0833	0.0476	0.0554	0.3697	87	213	0.212575	0.013594	0	0.781885	0.761306	,GPCPD1
miR-138/138ab	0.1667	0.1068	0.0861	0.5247	88	218	0.217565	0.013750	0	0.791145	0.761306	,ARRDC3
miR-34ac/34bc-5p/449abc/449c-5p	0.1944	0.1277	0.0958	0.6023	89	220	0.219561	0.013906	0	0.789432	0.761306	,LCK,CYR61,FOS
miR-505-5p	0.1528	0.0960	0.0802	0.4818	90	220	0.219561	0.014063	0	0.780661	0.761306	,GPCPD1,SOCS3
miR-25/32/92abc/363/363-3p/367	0.1389	0.0861	0.0776	0.4621	91	224	0.223553	0.014219	0	0.786120	0.761306	,ARRDC3,DUSP5
miR-134/3118	0.1250	0.0776	0.0735	0.5783	92	231	0.230539	0.014375	0	0.801875	0.761306	,CYP24A1,SOCS3
miR-320abcd/4429	0.2083	0.1446	0.0989	0.6663	93	233	0.232535	0.014531	0	0.800120	0.761306	,ANKRD1,ARRDC3,MBL2
miR-33ab/33-5p	0.1111	0.0727	0.0659	0.3925	94	233	0.232535	0.014688	0	0.791608	0.761306	,ANKRD1,ANXA3
miR-149	0.1944	0.1358	0.0918	0.6816	95	234	0.233533	0.014844	0	0.786637	0.761306	,ARRDC3,SOCS3
miR-409-3p	0.1250	0.0779	0.0698	0.4375	96	235	0.234531	0.015000	0	0.781770	0.761306	,CYP24A1,MBL2
miR-338-5p	0.1944	0.1296	0.0990	0.5966	97	236	0.235529	0.015156	0	0.777003	0.761306	,ANKRD1,EGR1,ARRDC3
miR-374c/655	0.1806	0.1254	0.0929	0.5432	98	236	0.235529	0.015313	0	0.769074	0.761306	,EGR1,MBL2
miR-344a-5p/484/3155/3155b	0.1667	0.1125	0.0878	0.4542	99	236	0.235529	0.015469	0	0.761306	0.761306	,GPCPD1,CYP24A1
miR-592/599	0.1250	0.0871	0.0768	0.4831	100	244	0.243513	0.015625	0	0.779242	0.761554	,ARRDC3,MBL2
miR-344a-3p/344c	0.0556	0.0296	0.0429	0.2140	101	246	0.245509	0.015781	0	0.777850	0.761554	,GPCPD1
miR-494	0.1944	0.1327	0.0961	0.7057	102	247	0.246507	0.015938	0	0.773355	0.761554	,ASNS,IL11,DUSP5
miR-93b/512-3p/1186	0.1250	0.0835	0.0709	0.3856	103	248	0.247505	0.016094	0	0.768948	0.761554	,ANXA3,SOCS3
miR-154/872	0.0694	0.0399	0.0506	0.3262	104	248	0.247505	0.016250	0	0.761554	0.761554	,IGFBP6
miR-130ac/301ab/301b/301b-3p/454/721/4295/3666	0.1389	0.0903	0.0820	0.4228	105	252	0.251497	0.016406	0	0.766467	0.764079	,GPCPD1,ARRDC3
miR-380-5p/2448	0.0833	0.0524	0.0612	0.4324	106	255	0.254491	0.016563	0	0.768275	0.764079	,SOCS3
miR-547	0.1111	0.0738	0.0656	0.3737	107	256	0.255489	0.016719	0	0.764079	0.764079	,IL11,MBL2
miR-4260/5120	0.1250	0.0863	0.0765	0.6143	108	259	0.258483	0.016875	0	0.765876	0.764709	,IL11,SOCS3
miR-1190/1691	0.1806	0.1287	0.0929	0.5503	109	261	0.260479	0.017031	0	0.764709	0.764709	,EGR1,FOS,ARRDC3
miR-763/1207-3p/1655	0.2083	0.1523	0.1016	0.5682	110	264	0.263473	0.017188	0	0.766467	0.766467	,GPCPD1,FOS,ARRDC3
miR-432	0.1250	0.0883	0.0754	0.3981	111	274	0.273453	0.017344	0	0.788333	0.784146	,FOS,SOCS3
miR-2861/3091-3p	0.1389	0.0970	0.0873	0.5865	112	275	0.274451	0.017500	0	0.784146	0.784146	,SOCS3
miR-325-3p	0.2917	0.2321	0.1213	0.9704	113	279	0.278443	0.017656	0	0.788511	0.784396	,LCK,FOS,ARRDC3,DUSP5
miR-762/4492/4498	0.2222	0.1696	0.1217	0.8359	114	280	0.279441	0.017813	0	0.784396	0.784396	,SOCS3,HPX
miR-875-5p	0.0556	0.0351	0.0489	0.3632	115	288	0.287425	0.017969	0	0.799792	0.798403	,GPCPD1
miR-192/215	0.0694	0.0494	0.0570	0.3982	116	290	0.289421	0.018125	0	0.798403	0.798403	,EGR1
miR-103a/107/107ab	0.1528	0.1160	0.0826	0.4429	117	295	0.294411	0.018281	0	0.805227	0.805227	,GPCPD1,SNX3
miR-136	0.1111	0.0843	0.0735	0.5582	118	298	0.297405	0.018438	0	0.806523	0.806523	,CYR61,SOCS3
miR-409-5p/409a	0.0556	0.0361	0.0465	0.2667	119	310	0.309381	0.018594	0	0.831950	0.831950	,ARRDC3
miR-880	0.0694	0.0535	0.0578	0.4030	120	316	0.315369	0.018750	0	0.840985	0.840985	,FOS
miR-140/140-5p/876-3p/1244	0.0694	0.0558	0.0633	0.4497	121	335	0.334331	0.018906	0	0.884182	0.874998	,MBL2
miR-201	0.0833	0.0667	0.0684	0.5208	122	337	0.336327	0.019063	0	0.882170	0.874998	,EGR1
miR-3074-3p/3074-1-3p	0.0694	0.0536	0.0564	0.3174	123	337	0.336327	0.019219	0	0.874998	0.874998	,ANKRD1
miR-299/299-3p/3563-3p	0.0694	0.0551	0.0567	0.2992	124	341	0.340319	0.019375	0	0.878244	0.878244	,ARRDC3
miR-496	0.0556	0.0417	0.0518	0.2376	125	349	0.348303	0.019531	0	0.891657	0.891657	,SOCS3
miR-544/544ab/544-3p	0.1528	0.1268	0.0893	0.6091	126	356	0.355289	0.019688	0	0.902322	0.902322	,GPCPD1,SNX3
miR-369-3p	0.1250	0.1082	0.0888	0.5027	127	365	0.364271	0.019844	0	0.917849	0.904451	,EGR1,CYP24A1
miR-18ab/4735-3p	0.0694	0.0608	0.0639	0.3049	128	365	0.364271	0.020000	0	0.910679	0.904451	,MBL2
miR-132/212/212-3p	0.1111	0.0971	0.0816	0.4901	129	367	0.366267	0.020156	0	0.908570	0.904451	,GPCPD1,ARRDC3
miR-151-3p	0.0556	0.0440	0.0533	0.3012	130	369	0.368263	0.020313	0	0.906495	0.904451	,LCK
miR-488	0.1389	0.1169	0.0836	0.4368	131	371	0.370259	0.020469	0	0.904451	0.904451	,EGR1,TMSB4X
miR-539/539-5p	0.1944	0.1723	0.1089	0.6893	132	384	0.383234	0.020625	0	0.929051	0.926868	,SNX3,MBL2
miR-323/323-3p	0.1111	0.0991	0.0827	0.5095	133	386	0.385230	0.020781	0	0.926868	0.926868	,GPCPD1,ARRDC3
miR-142-3p	0.0556	0.0528	0.0676	0.5540	134	391	0.390220	0.020938	0	0.931868	0.928847	,ARRDC3
miR-421	0.1389	0.1231	0.0885	0.5185	135	396	0.395210	0.021094	0	0.936793	0.928847	,LCK,SOCS3
miR-155	0.0694	0.0647	0.0634	0.4323	136	400	0.399202	0.021250	0	0.939298	0.928847	,CYR61
miR-425/425-5p/489	0.0694	0.0643	0.0645	0.3764	137	407	0.406188	0.021406	0	0.948759	0.928847	,GPCPD1
miR-3072/4313	0.0556	0.0525	0.0666	0.3996	138	409	0.408184	0.021563	0	0.946513	0.928847	,IL11
miR-219-5p/508/508-3p/4782-3p	0.0556	0.0520	0.0587	0.3302	139	409	0.408184	0.021719	0	0.939703	0.928847	,ASNS
miR-878-3p	0.0694	0.0656	0.0662	0.4621	140	412	0.411178	0.021875	0	0.939835	0.928847	,FOS
miR-193/193b/193a-3p	0.0694	0.0613	0.0596	0.3437	141	412	0.411178	0.022031	0	0.933169	0.928847	,SOCS3
miR-145	0.1250	0.1162	0.0897	0.5727	142	413	0.412176	0.022188	0	0.928847	0.928847	,CYR61,EGR1
miR-692/4753-3p	0.1944	0.1807	0.1149	0.7605	143	418	0.417166	0.022344	0	0.933518	0.933518	,ANKRD1,CYR61,ARRDC3
miR-581/669d	0.0694	0.0670	0.0682	0.5042	144	421	0.420160	0.022500	0	0.933688	0.933688	,SOCS3
miR-760-3p/1842	0.1528	0.1499	0.1012	0.6155	145	425	0.424152	0.022656	0	0.936059	0.936059	,EGR1,CYP24A1
miR-1912/1912-3p	0.1944	0.1869	0.1087	0.6592	146	434	0.433134	0.022813	0	0.949334	0.936505	,GPCPD1,SNX3,CYR61
miR-125a-5p/125b-5p/351/670/4319	0.1389	0.1365	0.1032	0.6880	147	434	0.433134	0.022969	0	0.942876	0.936505	,CYP24A1,DUSP5
miR-3112/3558-5p	0.0694	0.0705	0.0734	0.6295	148	434	0.433134	0.023125	0	0.936505	0.936505	,ARRDC3
miR-216a	0.0694	0.0689	0.0686	0.4148	149	442	0.441118	0.023281	0	0.947367	0.937480	,GPCPD1
miR-28-5p/708/1407/1653/3139	0.0694	0.0747	0.0728	0.4576	150	448	0.447106	0.023438	0	0.953826	0.937480	,CYP24A1
miR-702/702-3p	0.0694	0.0769	0.0809	0.5275	151	449	0.448104	0.023594	0	0.949624	0.937480	,CYR61
miR-383	0.0556	0.0556	0.0615	0.4597	152	452	0.451098	0.023750	0	0.949680	0.937480	,FOS
miR-1321/1943/4739/4756-5p	0.1528	0.1563	0.1160	0.8271	153	453	0.452096	0.023906	0	0.945560	0.937480	,SOCS3,DUSP5
miR-375	0.0556	0.0589	0.0576	0.3347	154	453	0.452096	0.024063	0	0.939420	0.937480	,ARRDC3
miR-377	0.1389	0.1412	0.0982	0.7161	155	455	0.454092	0.024219	0	0.937480	0.937480	,EGR1,ARRDC3
miR-382	0.0556	0.0579	0.0600	0.3566	156	470	0.469062	0.024375	0	0.962178	0.962178	,MBL2
miR-339b/339-5p/3586-5p	0.0694	0.0786	0.0721	0.3999	157	481	0.480040	0.024531	0	0.978425	0.978425	,ARRDC3
miR-204/204b/211	0.1250	0.1366	0.0971	0.6407	158	486	0.485030	0.024688	0	0.982339	0.981740	,ANXA3,EGR1
miR-770-5p	0.0556	0.0623	0.0639	0.5284	159	490	0.489022	0.024844	0	0.984195	0.981740	,FOS
miR-208ab-5p	0.1111	0.1220	0.0863	0.4879	160	494	0.493014	0.025000	0	0.986028	0.981740	,ANKRD1,CYP24A1
miR-495/1192	0.2083	0.2218	0.1288	0.9315	161	495	0.494012	0.025156	0	0.981887	0.981740	,EGR1,MBL2
miR-873	0.1250	0.1359	0.0926	0.5142	162	498	0.497006	0.025312	0	0.981740	0.981740	,LCK,FOS
miR-327	0.0694	0.0833	0.0746	0.5057	163	503	0.501996	0.025469	0	0.985514	0.985018	,FOS
miR-217	0.0694	0.0789	0.0699	0.3524	164	506	0.504990	0.025625	0	0.985346	0.985018	,TMSB4X
miR-668	0.0556	0.0669	0.0650	0.3466	165	510	0.508982	0.025781	0	0.987117	0.985018	,FOS
miR-186	0.1944	0.2095	0.1268	0.7268	166	512	0.510978	0.025938	0	0.985018	0.985018	,GPCPD1,ARRDC3
miR-129-3p/129ab-3p/129-1-3p/129-2-3p	0.0694	0.0829	0.0729	0.4164	167	523	0.521956	0.026094	0	1.000155	0.997768	,ARRDC3
miR-592/599.m	0.0556	0.0694	0.0668	0.3431	168	526	0.524950	0.026250	0	0.999905	0.997768	,MBL2
miR-342-3p	0.0833	0.1039	0.0860	0.6889	169	528	0.526946	0.026406	0	0.997768	0.997768	,ARRDC3
miR-552/3097-5p	0.0694	0.0867	0.0764	0.5051	170	538	0.536926	0.026562	0	1.010685	0.999002	,IL11
miR-673-5p	0.1389	0.1616	0.1007	0.6469	171	541	0.539920	0.026719	0	1.010377	0.999002	,GPCPD1,EGR1
miR-345-3p/4539	0.0694	0.0911	0.0786	0.4823	172	546	0.544910	0.026875	0	1.013786	0.999002	,GPCPD1
miR-465abc-5p	0.0833	0.1065	0.0847	0.6433	173	549	0.547904	0.027031	0	1.013464	0.999002	,ARRDC3
miR-433	0.0556	0.0741	0.0692	0.3378	174	554	0.552894	0.027188	0	1.016817	0.999002	,ARRDC3
miR-466i-3p/3941	0.1250	0.1537	0.1083	0.8392	175	556	0.554890	0.027344	0	1.014656	0.999002	,ASNS,EGR1
miR-504/4725-5p	0.0556	0.0747	0.0714	0.3735	176	563	0.561876	0.027500	0	1.021593	0.999002	,SOCS3
miR-212-5p	0.0694	0.0989	0.0841	0.4538	177	567	0.565868	0.027656	0	1.023039	0.999002	,CYR61
miR-767-5p	0.0556	0.0722	0.0674	0.3349	178	567	0.565868	0.027813	0	1.017291	0.999002	,FOS
miR-423a/423-5p/3184/3573-5p	0.0694	0.1050	0.0973	0.6502	179	575	0.573852	0.027969	0	1.025881	0.999002	,SOCS3
miR-759	0.0694	0.1013	0.0822	0.4956	180	588	0.586826	0.028125	0	1.043247	0.999002	,CYR61
miR-466d/466l-5p	0.1250	0.3067	0.3571	2.3371	181	591	0.589820	0.028281	0	1.042776	0.999002	,LCK,SOCS3
miR-124/124ab/506	0.1389	0.1772	0.1070	0.6930	182	596	0.594810	0.028437	0	1.045820	0.999002	,CYR61,EGR1
miR-1587/3083/4505	0.1250	0.1736	0.1220	0.7765	183	596	0.594810	0.028594	0	1.040106	0.999002	,ANKRD1,HPX
miR-188-3p	0.0833	0.1165	0.0912	0.4685	184	598	0.596806	0.028750	0	1.037924	0.999002	,ARRDC3
miR-337/337-3p	0.0694	0.0992	0.0811	0.4761	185	604	0.602794	0.028906	0	1.042671	0.999002	,EGR1
miR-290-5p/292-5p/371-5p/293	0.0833	0.1164	0.0843	0.4571	186	607	0.605788	0.029063	0	1.042217	0.999002	,ARRDC3
miR-532-3p	0.0833	0.1242	0.0972	0.6746	187	611	0.609780	0.029219	0	1.043475	0.999002	,TMSB4X
miR-302ac/520f	0.0556	0.0823	0.0736	0.5078	188	611	0.609780	0.029375	0	1.037924	0.999002	,SOCS3
miR-519a/519bc-3p/291b-3p/1347	0.0694	0.1043	0.0805	0.3950	189	612	0.610778	0.029531	0	1.034122	0.999002	,DUSP5
miR-153	0.0556	0.0854	0.0761	0.4361	190	612	0.610778	0.029687	0	1.028679	0.999002	,TMSB4X
miR-202-3p	0.0556	0.0843	0.0710	0.4781	191	617	0.615768	0.029844	0	1.031654	0.999002	,GPCPD1
miR-133abc	0.0556	0.0893	0.0781	0.4371	192	618	0.616766	0.030000	0	1.027944	0.999002	,DUSP5
miR-590-3p	0.1944	0.2597	0.1565	1.2308	193	627	0.625749	0.030156	0	1.037510	0.999002	,CYR61,EGR1,CYP24A1
miR-128/128ab	0.1250	0.1697	0.1081	0.6019	194	633	0.631737	0.030313	0	1.042040	0.999002	,GPCPD1,DUSP5
miR-455-3p	0.0556	0.0909	0.0812	0.6751	195	635	0.633733	0.030469	0	1.039971	0.999002	,IL11
miR-329/329ab/362-3p	0.0833	0.1303	0.0994	0.6500	196	644	0.642715	0.030625	0	1.049330	0.999002	,EGR1
miR-135ab/135a-5p	0.0694	0.1102	0.0875	0.4552	197	651	0.649701	0.030781	0	1.055351	0.999002	,DUSP5
miR-214/761/3619-5p	0.1389	0.1933	0.1145	0.6952	198	662	0.660679	0.030937	0	1.067763	0.999002	,GPCPD1,ANKRD1
miR-374ab	0.0694	0.1192	0.0924	0.6146	199	668	0.666667	0.031094	0	1.072027	0.999002	,CYP24A1
