miR	Score	AvgRandScore	sd(randScore)	max(randScore)	Rank	count>=	pValue	FDR(0.05) thresh	BH-sig	pv_corrected	pv_adjusted
miR-340-5p	0.3611	0.1365	0.0971	0.6383	13	25	0.024950	0.003202	0	0.389605	0.345603	,ARRDC3,GPCPD1,SOCS3,MBL2,SNX3
miR-183	0.1389	0.0329	0.0447	0.3039	14	27	0.026946	0.003448	0	0.390719	0.345603	,EGR1,TMSB4X
miR-431	0.1111	0.0178	0.0339	0.1708	15	27	0.026946	0.003695	0	0.364671	0.345603	,ARRDC3,FOS
miR-10abc/10a-5p	0.1250	0.0231	0.0384	0.2351	16	28	0.027944	0.003941	0	0.354541	0.345603	,ARRDC3,GPCPD1
miR-221/222/222ab/1928	0.1528	0.0359	0.0484	0.3479	17	29	0.028942	0.004187	0	0.345603	0.345603	,ARRDC3,FOS
miR-199ab-3p/3129-5p	0.1389	0.0308	0.0451	0.2363	18	31	0.030938	0.004433	0	0.348913	0.348913	,EGR1,TMSB4X
miR-19ab	0.2361	0.0824	0.0753	0.4692	19	42	0.041916	0.004680	0	0.447841	0.447841	,ARRDC3,GPCPD1,SOCS3
miR-138/138ab	0.1667	0.0450	0.0585	0.3546	20	46	0.045908	0.004926	0	0.465968	0.460443	,ARRDC3
miR-139-5p	0.1389	0.0335	0.0492	0.3405	21	49	0.048902	0.005172	0	0.472721	0.460443	,ARRDC3,FOS
miR-22/22-3p	0.1528	0.0412	0.0535	0.3866	22	50	0.049900	0.005419	0	0.460443	0.460443	,CYR61,SOCS3
miR-544/544ab/544-3p	0.1528	0.0466	0.0556	0.3078	23	53	0.052894	0.005665	0	0.466849	0.466849	,GPCPD1,SNX3
miR-218/218a	0.2222	0.0773	0.0787	0.4426	24	56	0.055888	0.005911	0	0.472721	0.472721	,ARRDC3,DUSP5,SOCS3
miR-299/299-3p/3563-3p	0.0694	0.0133	0.0276	0.2220	25	60	0.059880	0.006158	0	0.486228	0.483111	,ARRDC3
miR-877	0.0694	0.0124	0.0273	0.1664	26	62	0.061876	0.006404	0	0.483111	0.483111	,EGR1
miR-350	0.2222	0.0883	0.0849	0.6947	27	67	0.066866	0.006650	0	0.502735	0.484780	,EGR1,ARRDC3,IL11
miR-192/215	0.0694	0.0150	0.0320	0.2079	28	67	0.066866	0.006897	0	0.484780	0.484780	,EGR1
miR-144	0.1806	0.0685	0.0717	0.4762	29	72	0.071856	0.007143	0	0.502994	0.486228	,ARRDC3,FOS
miR-196abc	0.0833	0.0225	0.0411	0.3249	30	72	0.071856	0.007389	0	0.486228	0.486228	,GPCPD1
miR-23abc/23b-3p	0.2083	0.0862	0.0781	0.4804	31	78	0.077844	0.007635	0	0.509755	0.509755	,EGR1,IL11,DUSP5
miR-142-5p	0.1806	0.0686	0.0683	0.4050	32	82	0.081836	0.007882	0	0.519149	0.511818	,ARRDC3,FOS,SNX3
miR-875-5p	0.0556	0.0110	0.0257	0.1954	33	86	0.085828	0.008128	0	0.527974	0.511818	,GPCPD1
miR-103a/107/107ab	0.1528	0.0580	0.0634	0.3617	34	90	0.089820	0.008374	0	0.536280	0.511818	,GPCPD1,SNX3
miR-448/448-3p	0.1528	0.0558	0.0671	0.5631	35	90	0.089820	0.008621	0	0.520958	0.511818	,TMSB4X
miR-1ab/206/613	0.1528	0.0584	0.0635	0.3284	36	92	0.091816	0.008867	0	0.517742	0.511818	,ARRDC3,TMSB4X
miR-30abcdef/30abe-5p/384-5p	0.2361	0.1103	0.0933	0.5640	37	94	0.093812	0.009113	0	0.514700	0.511818	,CYP24A1,GPCPD1,SOCS3
miR-411	0.0556	0.0133	0.0295	0.2526	38	96	0.095808	0.009360	0	0.511818	0.511818	,ARRDC3
miR-137/137ab	0.1944	0.0821	0.0790	0.6309	39	99	0.098802	0.009606	0	0.514279	0.514279	,GPCPD1,DUSP5
miR-501-3p/502-3p/500/502a	0.0694	0.0207	0.0372	0.2608	40	102	0.101796	0.009852	0	0.516617	0.516617	,FOS
miR-339b/339-5p/3586-5p	0.0694	0.0216	0.0373	0.3035	41	113	0.112774	0.010099	0	0.558371	0.558371	,ARRDC3
miR-493/493b	0.0556	0.0159	0.0320	0.2180	42	127	0.126747	0.010345	0	0.612608	0.587111	,IGFBP6
miR-25/32/92abc/363/363-3p/367	0.1389	0.0625	0.0643	0.3670	43	131	0.130739	0.010591	0	0.617207	0.587111	,ARRDC3,DUSP5
miR-130ac/301ab/301b/301b-3p/454/721/4295/3666	0.1389	0.0608	0.0657	0.3654	44	132	0.131737	0.010837	0	0.607784	0.587111	,ARRDC3,GPCPD1
miR-331/331-3p	0.0694	0.0256	0.0432	0.4148	45	136	0.135729	0.011084	0	0.612287	0.587111	,DUSP5
miR-208ab/208ab-3p	0.0556	0.0197	0.0332	0.2581	46	140	0.139721	0.011330	0	0.616593	0.587111	,ARRDC3
miR-383	0.0556	0.0169	0.0329	0.1850	47	140	0.139721	0.011576	0	0.603474	0.587111	,FOS
miR-668	0.0556	0.0181	0.0324	0.2838	48	141	0.140719	0.011823	0	0.595122	0.587111	,FOS
miR-323/323-3p	0.1111	0.0508	0.0598	0.4824	49	142	0.141717	0.012069	0	0.587111	0.587111	,ARRDC3,GPCPD1
miR-216a	0.0694	0.0254	0.0404	0.2116	50	149	0.148703	0.012315	0	0.603733	0.588304	,GPCPD1
miR-101/101ab	0.1389	0.0682	0.0704	0.3922	51	150	0.149701	0.012562	0	0.595867	0.588304	,ARRDC3,FOS
miR-344a-5p/484/3155/3155b	0.0833	0.0349	0.0479	0.2810	52	151	0.150699	0.012808	0	0.588304	0.588304	,CYP24A1
miR-217	0.0694	0.0306	0.0451	0.2367	53	179	0.178643	0.013054	0	0.684235	0.682820	,TMSB4X
miR-375	0.0556	0.0232	0.0354	0.1993	54	182	0.181637	0.013300	0	0.682820	0.682820	,ARRDC3
miR-760-3p/1842	0.0833	0.0436	0.0537	0.3769	55	192	0.191617	0.013547	0	0.707240	0.707240	,EGR1
miR-873	0.0694	0.0353	0.0451	0.2338	56	207	0.206587	0.013793	0	0.748877	0.746402	,FOS
miR-876-5p/3167	0.0556	0.0247	0.0383	0.2760	57	210	0.209581	0.014039	0	0.746402	0.746402	,ARRDC3
miR-432	0.0556	0.0271	0.0427	0.2373	58	220	0.219561	0.014286	0	0.768463	0.758872	,FOS
miR-592/599	0.0556	0.0270	0.0404	0.2620	59	221	0.220559	0.014532	0	0.758872	0.758872	,ARRDC3
miR-142-3p	0.0556	0.0265	0.0438	0.3097	60	230	0.229541	0.014778	0	0.776613	0.765358	,ARRDC3
miR-488	0.0694	0.0383	0.0496	0.2927	61	236	0.235529	0.015025	0	0.783809	0.765358	,TMSB4X
miR-1348/1839/1839-5p/3927	0.0556	0.0279	0.0422	0.3029	62	237	0.236527	0.015271	0	0.774435	0.765358	,GPCPD1
miR-335/335-5p	0.0556	0.0294	0.0421	0.2559	63	238	0.237525	0.015517	0	0.765358	0.765358	,ARRDC3
miR-568	0.0694	0.0401	0.0549	0.3174	64	245	0.244511	0.015764	0	0.775558	0.775558	,ARRDC3
miR-149	0.0694	0.0430	0.0539	0.3177	65	259	0.258483	0.016010	0	0.807262	0.789213	,SOCS3
miR-7/7ab	0.0694	0.0404	0.0486	0.3486	66	259	0.258483	0.016256	0	0.795031	0.789213	,FOS
miR-499-5p	0.0556	0.0318	0.0460	0.3011	67	261	0.260479	0.016502	0	0.789213	0.789213	,ARRDC3
miR-384/384-3p	0.0556	0.0335	0.0472	0.2939	68	269	0.268463	0.016749	0	0.801441	0.795698	,ARRDC3
miR-338/338-3p	0.0556	0.0326	0.0469	0.2752	69	271	0.270459	0.016995	0	0.795698	0.795698	,FOS
miR-31	0.0556	0.0330	0.0467	0.2849	70	281	0.280439	0.017241	0	0.813273	0.810379	,ARRDC3
miR-143/1721/4770	0.0556	0.0327	0.0451	0.2306	71	284	0.283433	0.017488	0	0.810379	0.810379	,ANXA3
miR-302ac/520f	0.0556	0.0417	0.0547	0.2893	72	328	0.327345	0.017734	0	0.922932	0.922932	,SOCS3
miR-125a-5p/125b-5p/351/670/4319	0.0833	0.0680	0.0686	0.4773	73	344	0.343313	0.017980	0	0.954693	0.953546	,CYP24A1
miR-135ab/135a-5p	0.0694	0.0562	0.0619	0.3951	74	351	0.350299	0.018227	0	0.960956	0.953546	,DUSP5
miR-205/205ab	0.0556	0.0420	0.0516	0.3028	75	353	0.352295	0.018473	0	0.953546	0.953546	,TMSB4X
miR-421	0.0556	0.0427	0.0512	0.2721	76	363	0.362275	0.018719	0	0.967657	0.967657	,SOCS3
miR-369-3p	0.0694	0.0597	0.0655	0.4004	77	373	0.372255	0.018966	0	0.981401	0.968819	,EGR1
miR-204/204b/211	0.0694	0.0574	0.0623	0.3813	78	373	0.372255	0.019212	0	0.968819	0.968819	,EGR1
miR-124/124ab/506	0.1389	0.1236	0.0886	0.5712	79	388	0.387226	0.019458	0	0.995023	0.985797	,EGR1,CYR61
miR-153	0.0556	0.0507	0.0589	0.4055	80	397	0.396208	0.019704	0	1.005377	0.985797	,TMSB4X
miR-539/539-5p	0.0694	0.0643	0.0650	0.3767	81	399	0.398204	0.019951	0	0.997967	0.985797	,SNX3
miR-545/3065/3065-5p	0.0694	0.0643	0.0683	0.3859	82	399	0.398204	0.020197	0	0.985797	0.985797	,ARRDC3
miR-182	0.0833	0.0805	0.0751	0.4035	83	407	0.406188	0.020443	0	0.993447	0.993447	,ARRDC3
miR-763/1207-3p/1655	0.0556	0.0510	0.0590	0.3873	84	413	0.412176	0.020690	0	0.996091	0.996091	,FOS
miR-133abc	0.0556	0.0504	0.0568	0.3738	85	421	0.420160	0.020936	0	1.003440	0.999002	,DUSP5
miR-186	0.0833	0.0837	0.0764	0.4588	86	437	0.436128	0.021182	0	1.029464	0.999002	,GPCPD1
miR-145	0.0556	0.0590	0.0685	0.7344	87	446	0.445110	0.021429	0	1.038589	0.999002	,CYR61
miR-26ab/1297/4465	0.0694	0.0753	0.0760	0.4921	88	457	0.456088	0.021675	0	1.052112	0.999002	,DUSP5
miR-410/344de/344b-1-3p	0.0556	0.0676	0.0672	0.4806	89	503	0.501996	0.021921	0	1.145002	0.999002	,SNX3
miR-96/507/1271	0.0556	0.0777	0.0692	0.3978	90	575	0.573852	0.022167	0	1.294356	0.999002	,ARRDC3
let-7/98/4458/4500	0.0556	0.0791	0.0776	0.6613	91	579	0.577844	0.022414	0	1.289037	0.999002	,GPCPD1
miR-27abc/27a-3p	0.0694	0.0951	0.0808	0.4905	92	580	0.578842	0.022660	0	1.277228	0.999002	,DUSP5
miR-128/128ab	0.0556	0.0842	0.0744	0.4205	93	607	0.605788	0.022906	0	1.322312	0.999002	,DUSP5
miR-590-3p	0.0556	0.1342	0.1068	0.7038	94	763	0.761477	0.023153	0	1.644466	0.999002	,EGR1
miR-653	0.0000	0.0235	0.0401	0.2572	95	1001	0.999002	0.023399	0	2.134710	0.999002	
miR-376c/741-5p	0.0000	0.0252	0.0423	0.3207	96	1001	0.999002	0.023645	0	2.112473	0.999002	
miR-194	0.0000	0.0366	0.0488	0.2477	97	1001	0.999002	0.023892	0	2.090695	0.999002	
miR-155	0.0000	0.0330	0.0495	0.3929	98	1001	0.999002	0.024138	0	2.069361	0.999002	
miR-134/3118	0.0000	0.0194	0.0344	0.2002	99	1001	0.999002	0.024384	0	2.048459	0.999002	
miR-374ab	0.0000	0.0632	0.0674	0.4605	100	1001	0.999002	0.024631	0	2.027974	0.999002	
miR-764-5p	0.0000	0.0257	0.0388	0.1983	101	1001	0.999002	0.024877	0	2.007895	0.999002	
miR-378/422a/378bcdefhi	0.0000	0.0192	0.0351	0.2246	102	1001	0.999002	0.025123	0	1.988210	0.999002	
miR-652	0.0000	0.0009	0.0075	0.1092	103	1001	0.999002	0.025369	0	1.968907	0.999002	
miR-200bc/429/548a	0.0000	0.0861	0.0806	0.5814	104	1001	0.999002	0.025616	0	1.949975	0.999002	
miR-21/590-5p	0.0000	0.0270	0.0417	0.2363	105	1001	0.999002	0.025862	0	1.931404	0.999002	
miR-758	0.0000	0.0246	0.0363	0.1798	106	1001	0.999002	0.026108	0	1.913183	0.999002	
miR-320abcd/4429	0.0000	0.0653	0.0674	0.5166	107	1001	0.999002	0.026355	0	1.895303	0.999002	
miR-17/17-5p/20ab/20b-5p/93/106ab/427/518a-3p/519d	0.0000	0.0933	0.0843	0.5426	108	1001	0.999002	0.026601	0	1.877754	0.999002	
miR-423-3p	0.0000	0.0021	0.0113	0.1081	109	1001	0.999002	0.026847	0	1.860527	0.999002	
miR-718	0.0000	0.0011	0.0079	0.0861	110	1001	0.999002	0.027094	0	1.843613	0.999002	
miR-665	0.0000	0.0432	0.0546	0.3543	111	1001	0.999002	0.027340	0	1.827004	0.999002	
miR-342-3p	0.0000	0.0293	0.0423	0.2360	112	1001	0.999002	0.027586	0	1.810691	0.999002
miR-409-5p/409a	0.0000	0.0122	0.0266	0.2221	113	1001	0.999002	0.027833	0	1.794667	0.999002	
miR-759	0.0000	0.0267	0.0462	0.3444	114	1001	0.999002	0.028079	0	1.778925	0.999002	
miR-188-5p	0.0000	0.0180	0.0347	0.2350	115	1001	0.999002	0.028325	0	1.763456	0.999002	
miR-136	0.0000	0.0256	0.0394	0.2306	116	1001	0.999002	0.028571	0	1.748253	0.999002	
miR-879/3188	0.0000	0.0228	0.0382	0.2844	117	1001	0.999002	0.028818	0	1.733311	0.999002	
miR-125a-3p/1554	0.0000	0.0233	0.0386	0.2448	118	1001	0.999002	0.029064	0	1.718622	0.999002	
miR-190/190ab	0.0000	0.0150	0.0310	0.2806	119	1001	0.999002	0.029310	0	1.704180	0.999002	
miR-490-3p	0.0000	0.0197	0.0347	0.1950	120	1001	0.999002	0.029557	0	1.689978	0.999002	
miR-671-3p	0.0000	0.0012	0.0088	0.1039	121	1001	0.999002	0.029803	0	1.676012	0.999002	
miR-132/212/212-3p	0.0000	0.0384	0.0524	0.2891	122	1001	0.999002	0.030049	0	1.662274	0.999002	
miR-296-3p	0.0000	0.0092	0.0239	0.1522	123	1001	0.999002	0.030296	0	1.648759	0.999002	
miR-451	0.0000	0.0026	0.0131	0.1292	124	1001	0.999002	0.030542	0	1.635463	0.999002	
miR-122/122a/1352	0.0000	0.0196	0.0349	0.2622	125	1001	0.999002	0.030788	0	1.622379	0.999002	
miR-193/193b/193a-3p	0.0000	0.0242	0.0396	0.2315	126	1001	0.999002	0.031034	0	1.609503	0.999002	
miR-3074-3p/3074-1-3p	0.0000	0.0208	0.0368	0.3391	127	1001	0.999002	0.031281	0	1.596830	0.999002	
miR-485-5p/1698/1703/1962	0.0000	0.0376	0.0517	0.2944	128	1001	0.999002	0.031527	0	1.584355	0.999002	
miR-290-5p/292-5p/371-5p/293	0.0000	0.0447	0.0538	0.3403	129	1001	0.999002	0.031773	0	1.572073	0.999002	
miR-370	0.0000	0.0425	0.0546	0.4206	130	1001	0.999002	0.032020	0	1.559980	0.999002	
miR-874	0.0000	0.0263	0.0413	0.2396	131	1001	0.999002	0.032266	0	1.548072	0.999002	
miR-216b/216b-5p	0.0000	0.0209	0.0370	0.2166	132	1001	0.999002	0.032512	0	1.536344	0.999002	
miR-139-3p.dmr	0.0000	0.0123	0.0253	0.1516	133	1001	0.999002	0.032759	0	1.524793	0.999002	
miR-494	0.0000	0.0526	0.0554	0.3318	134	1001	0.999002	0.033005	0	1.513413	0.999002	
miR-219-2-3p/219-3p	0.0000	0.0149	0.0307	0.2016	135	1001	0.999002	0.033251	0	1.502203	0.999002	
miR-28-5p/708/1407/1653/3139	0.0000	0.0187	0.0357	0.1985	136	1001	0.999002	0.033498	0	1.491157	0.999002	
miR-298/2347/2467-3p	0.0000	0.0497	0.0583	0.3645	137	1001	0.999002	0.033744	0	1.480273	0.999002	
miR-361-5p	0.0000	0.0216	0.0377	0.3337	138	1001	0.999002	0.033990	0	1.469546	0.999002	
miR-141/200a	0.0000	0.0692	0.0719	0.4223	139	1001	0.999002	0.034236	0	1.458974	0.999002	
miR-542-3p	0.0000	0.0319	0.0458	0.2423	140	1001	0.999002	0.034483	0	1.448553	0.999002	
miR-34ac/34bc-5p/449abc/449c-5p	0.0000	0.0585	0.0667	0.4552	141	1001	0.999002	0.034729	0	1.438279	0.999002	
miR-18ab/4735-3p	0.0000	0.0191	0.0369	0.2203	142	1001	0.999002	0.034975	0	1.428151	0.999002	
miR-532-3p	0.0000	0.0369	0.0502	0.5051	143	1001	0.999002	0.035222	0	1.418164	0.999002	
miR-126-3p	0.0000	0.0021	0.0108	0.1204	144	1001	0.999002	0.035468	0	1.408315	0.999002	
miR-382	0.0000	0.0195	0.0359	0.2177	145	1001	0.999002	0.035714	0	1.398603	0.999002	
miR-9/9ab	0.0000	0.0955	0.0802	0.5042	146	1001	0.999002	0.035961	0	1.389023	0.999002	
miR-339-3p	0.0000	0.0016	0.0110	0.1227	147	1001	0.999002	0.036207	0	1.379574	0.999002	
miR-598/598-3p	0.0000	0.0017	0.0098	0.1014	148	1001	0.999002	0.036453	0	1.370253	0.999002	
miR-199ab-5p	0.0000	0.0427	0.0581	0.5586	149	1001	0.999002	0.036700	0	1.361056	0.999002	
miR-342-5p/4664-5p	0.0000	0.0171	0.0333	0.2341	150	1001	0.999002	0.036946	0	1.351983	0.999002	
miR-423a/423-5p/3184/3573-5p	0.0000	0.0306	0.0471	0.2921	151	1001	0.999002	0.037192	0	1.343029	0.999002	
miR-185/882/3473/4306/4644	0.0000	0.0385	0.0525	0.3878	152	1001	0.999002	0.037438	0	1.334193	0.999002	
miR-24/24ab/24-3p	0.0000	0.0531	0.0597	0.3767	153	1001	0.999002	0.037685	0	1.325473	0.999002	
miR-33ab/33-5p	0.0000	0.0366	0.0511	0.3617	154	1001	0.999002	0.037931	0	1.316866	0.999002	
miR-487b	0.0000	0.0012	0.0079	0.0774	155	1001	0.999002	0.038177	0	1.308370	0.999002	
miR-127/127-3p	0.0000	0.0020	0.0114	0.1148	156	1001	0.999002	0.038424	0	1.299983	0.999002	
miR-346	0.0000	0.0159	0.0310	0.2304	157	1001	0.999002	0.038670	0	1.291703	0.999002	
miR-532-5p/511	0.0000	0.0188	0.0333	0.1937	158	1001	0.999002	0.038916	0	1.283528	0.999002	
miR-326/330/330-5p	0.0000	0.0482	0.0572	0.3087	159	1001	0.999002	0.039163	0	1.275455	0.999002	
miR-369-5p	0.0000	0.0005	0.0059	0.1013	160	1001	0.999002	0.039409	0	1.267484	0.999002	
miR-496	0.0000	0.0123	0.0286	0.2701	161	1001	0.999002	0.039655	0	1.259611	0.999002	
miR-150/5127	0.0000	0.0360	0.0490	0.3367	162	1001	0.999002	0.039901	0	1.251836	0.999002	
miR-154/872	0.0000	0.0168	0.0331	0.2686	163	1001	0.999002	0.040148	0	1.244156	0.999002	
miR-184	0.0000	0.0027	0.0129	0.1241	164	1001	0.999002	0.040394	0	1.236570	0.999002	
miR-328a/328b-3p	0.0000	0.0268	0.0417	0.2580	165	1001	0.999002	0.040640	0	1.229075	0.999002	
miR-146ac/146b-5p	0.0000	0.0229	0.0398	0.2864	166	1001	0.999002	0.040887	0	1.221671	0.999002	
miR-1249	0.0000	0.0011	0.0084	0.1088	167	1001	0.999002	0.041133	0	1.214356	0.999002	
miR-224	0.0000	0.0358	0.0511	0.3159	168	1001	0.999002	0.041379	0	1.207127	0.999002	
miR-99ab/100	0.0000	0.0031	0.0143	0.1174	169	1001	0.999002	0.041626	0	1.199985	0.999002	
miR-3064-5p/3085-3p	0.0000	0.0465	0.0545	0.3451	170	1001	0.999002	0.041872	0	1.192926	0.999002	
miR-503	0.0000	0.0281	0.0418	0.3367	171	1001	0.999002	0.042118	0	1.185950	0.999002	
miR-519a/519bc-3p/291b-3p/1347	0.0000	0.0632	0.0678	0.3645	172	1001	0.999002	0.042365	0	1.179055	0.999002	
miR-362-5p/500b	0.0000	0.0171	0.0325	0.2007	173	1001	0.999002	0.042611	0	1.172239	0.999002	
miR-495/1192	0.0000	0.0938	0.0827	0.4556	174	1001	0.999002	0.042857	0	1.165502	0.999002	
miR-15abc/16/16abc/195/322/424/497/1907	0.0000	0.1031	0.0907	0.5485	175	1001	0.999002	0.043103	0	1.158842	0.999002	
miR-675-5p/4466	0.0000	0.0012	0.0090	0.1315	176	1001	0.999002	0.043350	0	1.152258	0.999002	
miR-93/93a/105/106a/291a-3p/294/295/302abcde/372/373/428/519a/520be/520acd-3p/1378/1420ac	0.0000	0.0593	0.0633	0.3654	177	1001	0.999002	0.043596	0	1.145748	0.999002	
miR-744/1716	0.0000	0.0067	0.0263	0.3571	178	1001	0.999002	0.043842	0	1.139311	0.999002	
miR-501-5p	0.0000	0.0260	0.0396	0.2448	179	1001	0.999002	0.044089	0	1.132946	0.999002	
miR-202-5p/337-3p	0.0000	0.0206	0.0368	0.2502	180	1001	0.999002	0.044335	0	1.126652	0.999002	
miR-329/329ab/362-3p	0.0000	0.0438	0.0557	0.3496	181	1001	0.999002	0.044581	0	1.120428	0.999002	
miR-129-5p/129ab-5p	0.0000	0.0598	0.0697	0.4675	182	1001	0.999002	0.044828	0	1.114271	0.999002	
miR-1587/3083/4505	0.0000	0.0600	0.0658	0.3549	183	1001	0.999002	0.045074	0	1.108183	0.999002	
miR-425/425-5p/489	0.0000	0.0205	0.0364	0.2125	184	1001	0.999002	0.045320	0	1.102160	0.999002	
miR-214/761/3619-5p	0.0000	0.0692	0.0708	0.5546	185	1001	0.999002	0.045567	0	1.096202	0.999002	
miR-147/147b	0.0000	0.0016	0.0093	0.0813	186	1001	0.999002	0.045813	0	1.090309	0.999002	
miR-615-5p	0.0000	0.0150	0.0342	0.3103	187	1001	0.999002	0.046059	0	1.084478	0.999002	
miR-379/1193-5p/3529	0.0000	0.0109	0.0248	0.1684	188	1001	0.999002	0.046305	0	1.078710	0.999002	
miR-376abd/376b-3p	0.0000	0.0197	0.0365	0.2716	189	1001	0.999002	0.046552	0	1.073002	0.999002	
miR-151-5p/151b	0.0000	0.0021	0.0124	0.1726	190	1001	0.999002	0.046798	0	1.067355	0.999002	
miR-574-3p	0.0000	0.0010	0.0078	0.0845	191	1001	0.999002	0.047044	0	1.061767	0.999002
miR-450a/451a	0.0000	0.0015	0.0094	0.0897	192	1001	0.999002	0.047291	0	1.056236	0.999002	
miR-504/4725-5p	0.0000	0.0180	0.0359	0.3111	193	1001	0.999002	0.047537	0	1.050764	0.999002	
miR-1224-5p/1671	0.0000	0.0170	0.0325	0.2276	194	1001	0.999002	0.047783	0	1.045347	0.999002	
miR-433	0.0000	0.0248	0.0411	0.2417	195	1001	0.999002	0.048030	0	1.039987	0.999002	
miR-140/140-5p/876-3p/1244	0.0000	0.0244	0.0392	0.2346	196	1001	0.999002	0.048276	0	1.034681	0.999002	
miR-210	0.0000	0.0021	0.0109	0.0950	197	1001	0.999002	0.048522	0	1.029428	0.999002	
miR-300/381/539-3p	0.0000	0.0900	0.0824	0.6331	198	1001	0.999002	0.048768	0	1.024229	0.999002	
miR-377/672	0.0000	0.0194	0.0332	0.1944	199	1001	0.999002	0.049015	0	1.019082	0.999002	
miR-219-5p/508/508-3p/4782-3p	0.0000	0.0296	0.0449	0.2644	200	1001	0.999002	0.049261	0	1.013987	0.999002	
miR-345-3p/4539	0.0000	0.0259	0.0412	0.3307	201	1001	0.999002	0.049507	0	1.008942	0.999002	
miR-551a	0.0000	0.0010	0.0077	0.0996	202	1001	0.999002	0.049754	0	1.003948	0.999002	
miR-324-5p	0.0000	0.0120	0.0273	0.2185	203	1001	0.999002	0.050000	0	0.999002	0.999002	


