miR	Score	AvgRandScore	sd(randScore)	max(randScore)	Rank	count>=	pValue	FDR(0.05) thresh	BH-sig	pv_corrected	pv_adjusted
miR-501-3p/502-3p/500/502a	0.2083	0.0961	0.0763	0.5232	56	79	0.078842	0.004423	0	0.891200	0.818918	,FOS,GPCPD1,IL11
miR-1945	0.0556	0.0110	0.0241	0.1438	57	80	0.079840	0.004502	0	0.886648	0.818918	,IL11
miR-471-3p	0.3611	0.2011	0.1122	0.7494	58	81	0.080838	0.004581	0	0.882253	0.818918	,CYP24A1,TMSB4X,EGR1,GPCPD1,MBL2,LCK
miR-1348/1839/1839-5p/3927	0.2639	0.1268	0.0938	0.6115	59	82	0.081836	0.004660	0	0.878007	0.818918	,ARRDC3,ANKRD1,GPCPD1
miR-664/664b	0.4028	0.2184	0.1278	0.8549	60	84	0.083832	0.004739	0	0.884431	0.818918	,ARRDC3,CYP24A1,GPCPD1,IL11,MBL2
miR-466h-5p/466j/466m-5p/669m-5p	0.3889	0.2095	0.1245	0.7638	61	84	0.083832	0.004818	0	0.869932	0.818918	,SOCS3,SNX3,ANXA3,MBL2,LCK
miR-297b-3p/466ade-3p/467g	0.5000	0.2724	0.1570	1.3390	62	87	0.086826	0.004897	0	0.886469	0.818918	,ANKRD1,CYP24A1,GPCPD1,MBL2
miR-331/331-3p	0.3611	0.1874	0.1229	0.9563	63	87	0.086826	0.004976	0	0.872398	0.818918	,SOCS3,DUSP5,IL11
miR-350	0.4722	0.2810	0.1352	0.8824	64	88	0.087824	0.005055	0	0.868638	0.818918	,CYR61,SOCS3,ARRDC3,EGR1,IL11,MBL2
miR-1843/3475	0.4583	0.2674	0.1399	1.0637	65	88	0.087824	0.005134	0	0.855274	0.818918	,CYR61,SOCS3,IGFBP6,EGR1,FOS
miR-669e	0.2500	0.1263	0.0867	0.5436	66	89	0.088822	0.005213	0	0.851887	0.818918	,SNX3,ARRDC3,ANXA3,FOS
miR-33a-3p/365/365-3p	0.2083	0.1020	0.0773	0.4376	67	90	0.089820	0.005292	0	0.848601	0.818918	,CYR61,ARRDC3
miR-490-5p	0.2639	0.1350	0.0892	0.4895	68	92	0.091816	0.005371	0	0.854702	0.818918	,CYP24A1,FOS,GPCPD1
miR-7/7ab	0.3889	0.2267	0.1150	0.6410	69	93	0.092814	0.005450	0	0.851471	0.818918	,SNX3,ARRDC3,ANKRD1,FOS,IL11
miR-872/1421acal	0.1806	0.0796	0.0700	0.3488	70	93	0.092814	0.005529	0	0.839307	0.818918	,CYR61,EGR1,GPCPD1
miR-1936	0.2778	0.1437	0.0938	0.5306	71	95	0.094810	0.005608	0	0.845281	0.818918	,ARRDC3,DUSP5,GPCPD1
miR-505/505-3p	0.2500	0.1234	0.0917	0.5614	72	96	0.095808	0.005687	0	0.842315	0.818918	,SNX3,ARRDC3,IL11,MBL2
miR-713	0.3333	0.1896	0.1101	0.7829	73	97	0.096806	0.005766	0	0.839431	0.818918	,ANXA3,GPCPD1
miR-148ab-3p/152	0.3472	0.1969	0.1134	0.7947	74	101	0.100798	0.005845	0	0.862235	0.818918	,ARRDC3,TMSB4X,GPCPD1,MBL2
miR-1196	0.2083	0.1015	0.0801	0.5289	75	101	0.100798	0.005924	0	0.850739	0.818918	,ARRDC3,DUSP5,MBL2
miR-1942	0.3333	0.1913	0.1119	0.6449	76	104	0.103792	0.006003	0	0.864482	0.818918	,TMSB4X,ASNS,FOS,IL11,LCK
miR-3092	0.2361	0.1211	0.0867	0.4877	77	106	0.105788	0.006082	0	0.869663	0.818918	,ARRDC3,CYP24A1,IGFBP6,MBL2
miR-335-3p	0.5417	0.3385	0.1563	0.9832	78	107	0.106786	0.006161	0	0.866613	0.818918	,SOCS3,ARRDC3,ASNS,FOS,MBL2
miR-137/137ab	0.2778	0.1513	0.1036	0.6426	79	107	0.106786	0.006240	0	0.855643	0.818918	,ANKRD1,DUSP5,GPCPD1
miR-5111	0.0694	0.0224	0.0367	0.2117	80	108	0.107784	0.006319	0	0.852844	0.818918	,SOCS3
miR-499-5p	0.2639	0.1452	0.0990	0.6492	81	110	0.109780	0.006398	0	0.857914	0.818918	,ARRDC3,GPCPD1,MBL2
miR-154/872	0.1806	0.0860	0.0726	0.4083	82	111	0.110778	0.006477	0	0.855156	0.818918	,CYR61,IGFBP6,GPCPD1
miR-601/5135	0.1667	0.0777	0.0704	0.6113	83	114	0.113772	0.006556	0	0.867686	0.818918	,DUSP5,EGR1
miR-1903/4778-3p	0.4097	0.2507	0.1293	0.8016	84	115	0.114770	0.006635	0	0.864877	0.818918	,SNX3,ARRDC3,ANKRD1,EGR1
miR-450a/451a	0.0556	0.0139	0.0297	0.1709	85	118	0.117764	0.006714	0	0.876999	0.818918	,CYP24A1
miR-686	0.3889	0.2358	0.1241	0.8483	86	120	0.119760	0.006793	0	0.881493	0.818918	,SNX3,ANKRD1,ANXA3,EGR1,GPCPD1
miR-802.mpr	0.2917	0.1619	0.1036	0.6571	87	122	0.121756	0.006872	0	0.885883	0.818918	,ARRDC3,CYP24A1,FOS,IL11
miR-147/147b	0.0694	0.0253	0.0402	0.2952	88	124	0.123752	0.006951	0	0.890174	0.818918	,CYP24A1
miR-1193-3p/1421x	0.2639	0.1471	0.0966	0.5586	89	125	0.124750	0.007030	0	0.887270	0.818918	,SOCS3,CYP24A1,DUSP5,MBL2
miR-1894-5p/2394	0.3472	0.2059	0.1209	0.7386	90	127	0.126747	0.007109	0	0.891450	0.818918	,SOCS3,DUSP5,GPCPD1
miR-669h-5p	0.2361	0.1349	0.0907	0.5741	91	127	0.126747	0.007188	0	0.881654	0.818918	,SOCS3,DUSP5,GPCPD1
miR-465abc-3p	0.2083	0.1101	0.0846	0.5499	92	129	0.128743	0.007267	0	0.885804	0.818918	,ANXA3,HPX
miR-5114	0.4167	0.2654	0.1304	0.7736	93	131	0.130739	0.007346	0	0.889865	0.818918	,CYR61,SNX3,EGR1,MBL2,LCK
miR-1933-3p	0.3056	0.1780	0.1162	0.8225	94	131	0.130739	0.007425	0	0.880399	0.818918	,SOCS3,SNX3,CYP24A1,DUSP5,GPCPD1
miR-1186b	0.1806	0.0946	0.0734	0.4019	95	132	0.131737	0.007504	0	0.877781	0.818918	,SOCS3,SNX3,ARRDC3
miR-1419d/1960	0.3472	0.2102	0.1202	0.7016	96	133	0.132735	0.007583	0	0.875218	0.818918	,ARRDC3,ANKRD1,CYP24A1,GPCPD1,MBL2
miR-582-5p.dmrz	0.3056	0.1899	0.1102	0.9379	97	133	0.132735	0.007662	0	0.866195	0.818918	,CYR61,ARRDC3,DUSP5,EGR1,GPCPD1
miR-597/1970	0.2639	0.1486	0.0983	0.6371	98	133	0.132735	0.007741	0	0.857357	0.818918	,ARRDC3,CYP24A1,EGR1,FOS
miR-223	0.2500	0.1441	0.0956	0.6492	99	133	0.132735	0.007820	0	0.848697	0.818918	,ARRDC3,CYP24A1,DUSP5
miR-208ab/208ab-3p	0.1667	0.0869	0.0717	0.5655	100	133	0.132735	0.007899	0	0.840210	0.818918	,ARRDC3,GPCPD1,MBL2
miR-495/1192	0.5903	0.3953	0.1837	1.3627	101	135	0.134731	0.007978	0	0.844400	0.818918	,CYR61,ARRDC3,DUSP5,EGR1,MBL2
miR-467f/4789-5p	0.3611	0.2176	0.1290	1.1416	102	135	0.134731	0.008057	0	0.836122	0.818918	,SNX3,ARRDC3,ANKRD1,GPCPD1,MBL2
miR-29abcd	0.2917	0.1667	0.1117	0.6535	103	137	0.136727	0.008136	0	0.840271	0.818918	,ARRDC3,FOS,GPCPD1
miR-509-3p/514	0.1389	0.0675	0.0672	0.4787	104	137	0.136727	0.008215	0	0.832191	0.818918	,CYR61,SOCS3
miR-212-5p	0.3125	0.1867	0.1183	0.6846	105	139	0.138723	0.008294	0	0.836299	0.818918	,CYR61,ANKRD1,DUSP5
miR-344f-5p	0.2500	0.1480	0.0928	0.5693	106	139	0.138723	0.008373	0	0.828409	0.818918	,ARRDC3,CYP24A1,DUSP5
miR-5133	0.3472	0.2200	0.1240	0.7452	107	140	0.139721	0.008452	0	0.826571	0.818918	,CYR61,SOCS3,SNX3,EGR1,GPCPD1
miR-125b-1-3p/125b-3p	0.0556	0.0194	0.0352	0.2886	108	140	0.139721	0.008531	0	0.818918	0.818918	,SNX3
miR-325-3p	0.4306	0.2933	0.1305	0.8167	109	142	0.141717	0.008610	0	0.822996	0.821817	,ARRDC3,ANKRD1,DUSP5,FOS,MBL2,LCK
miR-183	0.2222	0.1281	0.0899	0.5545	110	145	0.144711	0.008689	0	0.832744	0.821817	,TMSB4X,EGR1,LCK
miR-3070b-5p	0.2917	0.1771	0.1176	0.8381	111	146	0.145709	0.008768	0	0.830933	0.821817	,SOCS3,GPCPD1,IL11
miR-448-5p	0.2361	0.1384	0.0948	0.5839	112	147	0.146707	0.008847	0	0.829154	0.821817	,ARRDC3,GPCPD1
miR-140/140-5p/876-3p/1244	0.2083	0.1140	0.0904	0.5168	113	147	0.146707	0.008926	0	0.821817	0.821817	,SOCS3,MBL2,LCK
miR-101c	0.2083	0.1213	0.0829	0.4461	114	149	0.148703	0.009005	0	0.825691	0.824004	,CYR61,GPCPD1
miR-302ac/520f	0.2500	0.1512	0.1006	0.6579	115	150	0.149701	0.009084	0	0.824004	0.824004	,SOCS3,ANKRD1,FOS,MBL2
miR-1ab/206/613	0.2917	0.1781	0.1136	0.7922	116	153	0.152695	0.009163	0	0.833239	0.833239	,CYR61,ARRDC3,TMSB4X,GPCPD1
miR-543	0.3472	0.2289	0.1215	0.8075	117	157	0.156687	0.009242	0	0.847715	0.840531	,CYR61,ARRDC3,FOS,GPCPD1
miR-488	0.3333	0.2184	0.1171	0.6247	118	157	0.156687	0.009321	0	0.840531	0.840531	,SOCS3,TMSB4X,EGR1,MBL2,LCK
miR-1905	0.1806	0.1062	0.0792	0.4307	119	162	0.161677	0.009400	0	0.860011	0.860011	,IL11,MBL2
miR-344g-3p/3542	0.2778	0.1746	0.1069	0.6739	120	165	0.164671	0.009479	0	0.868638	0.860237	,SOCS3,CYP24A1,GPCPD1
miR-669g	0.1667	0.0956	0.0801	0.4811	121	170	0.169661	0.009558	0	0.887564	0.860237	,GPCPD1,MBL2
miR-101/101ab	0.2917	0.1891	0.1091	0.6000	122	172	0.171657	0.009637	0	0.890645	0.860237	,ARRDC3,FOS,GPCPD1,MBL2
miR-25/32/92abc/363/363-3p/367	0.2083	0.1279	0.0896	0.5330	123	172	0.171657	0.009716	0	0.883404	0.860237	,ARRDC3,ANXA3,DUSP5
miR-511-3p	0.2708	0.1653	0.1101	0.6275	124	175	0.174651	0.009795	0	0.891564	0.860237	,ARRDC3,MBL2,LCK
miR-434-5p	0.0556	0.0199	0.0345	0.2237	125	175	0.174651	0.009874	0	0.884431	0.860237	,ASNS
miR-717	0.2917	0.1914	0.1130	0.6370	126	176	0.175649	0.009953	0	0.882426	0.860237	,SOCS3,ARRDC3,CYP24A1,FOS
miR-598/598-3p	0.0694	0.0304	0.0424	0.2810	127	178	0.177645	0.010032	0	0.885426	0.860237	,CYR61
miR-5130	0.1250	0.0725	0.0657	0.4668	128	179	0.178643	0.010111	0	0.883444	0.860237	,SNX3,MBL2
miR-191	0.0833	0.0408	0.0516	0.3143	129	179	0.178643	0.010190	0	0.876596	0.860237	,EGR1
miR-3095-5p	0.2917	0.1919	0.1081	0.6234	130	180	0.179641	0.010269	0	0.874712	0.860237	,ARRDC3,ANKRD1,CYP24A1,IL11,MBL2
miR-1964-5p/3135b	0.3472	0.2307	0.1295	0.8166	131	181	0.180639	0.010348	0	0.872857	0.860237	,SOCS3,SNX3,GPCPD1
miR-139-5p	0.2778	0.1828	0.1047	0.7360	132	181	0.180639	0.010427	0	0.866245	0.860237	,SNX3,ARRDC3,EGR1,FOS
miR-3102-3p.2	0.2083	0.1302	0.0924	0.5278	133	185	0.184631	0.010506	0	0.878731	0.860237	,SOCS3,ARRDC3,EGR1
miR-338-5p	0.3194	0.2114	0.1250	0.8514	134	188	0.187625	0.010585	0	0.886317	0.860237	,ARRDC3,ANKRD1,EGR1,GPCPD1,MBL2
miR-743b-5p	0.2639	0.1711	0.1071	0.6706	135	189	0.188623	0.010664	0	0.884431	0.860237	,CYR61,ARRDC3,DUSP5,EGR1
miR-4260/5120	0.2639	0.1735	0.1060	0.7883	136	189	0.188623	0.010742	0	0.877928	0.860237	,SOCS3,IGFBP6,DUSP5,IL11
miR-3073-3p	0.1806	0.1149	0.0802	0.4380	137	190	0.189621	0.010821	0	0.876131	0.860237	,ARRDC3,CYP24A1,TMSB4X
miR-1839-3p	0.1250	0.0704	0.0674	0.4207	138	190	0.189621	0.010900	0	0.869782	0.860237	,SOCS3,EGR1
miR-3081	0.0556	0.0210	0.0369	0.2440	139	191	0.190619	0.010979	0	0.868070	0.860237	,CYR61
miR-881/892a	0.2778	0.1873	0.1111	0.6429	140	192	0.191617	0.011058	0	0.866382	0.860237	,CYP24A1,DUSP5,GPCPD1
miR-5128	0.1250	0.0729	0.0693	0.3997	141	192	0.191617	0.011137	0	0.860237	0.860237	,CYP24A1,FOS
miR-694	0.5278	0.3888	0.1661	0.9624	142	195	0.194611	0.011216	0	0.867526	0.862647	,SNX3,ARRDC3,DUSP5,HPX,EGR1,FOS,IL11,MBL2
miR-434-3p	0.1667	0.1017	0.0789	0.3904	143	196	0.195609	0.011295	0	0.865877	0.862647	,TMSB4X,ANXA3,MBL2
miR-3058/4691-3p	0.3333	0.2344	0.1319	0.7461	144	198	0.197605	0.011374	0	0.868638	0.862647	,CYR61,SOCS3,CYP24A1,MBL2
miR-3572.m	0.2639	0.1788	0.1092	0.6233	145	198	0.197605	0.011453	0	0.862647	0.862647	,CYR61,SOCS3,CYP24A1
miR-666-5p	0.0694	0.0348	0.0471	0.2474	146	200	0.199601	0.011532	0	0.865393	0.865393	,DUSP5
miR-871-3p	0.2153	0.1406	0.0975	0.8316	147	205	0.204591	0.011611	0	0.880993	0.871472	,SOCS3,DUSP5
miR-129-5p/129ab-5p	0.3472	0.2460	0.1433	1.1761	148	207	0.206587	0.011690	0	0.883577	0.871472	,ANXA3,DUSP5,EGR1,FOS
miR-187	0.0694	0.0344	0.0456	0.2689	149	208	0.207585	0.011769	0	0.881887	0.871472	,ARRDC3
miR-5112	0.2847	0.1977	0.1150	0.7139	150	209	0.208583	0.011848	0	0.880220	0.871472	,ARRDC3,EGR1,GPCPD1,MBL2
miR-706	0.4028	0.2947	0.1339	0.7926	151	211	0.210579	0.011927	0	0.882758	0.871472	,CYP24A1,FOS,GPCPD1,MBL2
miR-18ab/4735-3p	0.1806	0.1110	0.0873	0.5243	152	211	0.210579	0.012006	0	0.876950	0.871472	,EGR1,IL11,MBL2
miR-875-5p	0.1250	0.0758	0.0699	0.4285	153	214	0.213573	0.012085	0	0.883605	0.871472	,GPCPD1,MBL2
miR-1249	0.0556	0.0238	0.0388	0.2424	154	216	0.215569	0.012164	0	0.886072	0.871472	,CYR61
miR-592/599	0.2500	0.1708	0.1053	0.5975	155	217	0.216567	0.012243	0	0.884431	0.871472	,ARRDC3,ASNS,MBL2
miR-714	0.0694	0.0346	0.0468	0.3389	156	217	0.216567	0.012322	0	0.878762	0.871472	,DUSP5
miR-93b/512-3p/1186	0.2500	0.1715	0.1081	0.7567	157	218	0.217565	0.012401	0	0.877188	0.871472	,SOCS3,CYP24A1,ANXA3,FOS
miR-767-5p	0.1806	0.1212	0.0868	0.5121	158	218	0.217565	0.012480	0	0.871636	0.871472	,CYR61,CYP24A1,FOS
miR-1843b-5p	0.2361	0.1624	0.1072	0.7986	159	223	0.222555	0.012559	0	0.886020	0.871472	,SOCS3,ARRDC3
miR-342-5p/4664-5p	0.2639	0.1853	0.1203	0.6471	160	227	0.226547	0.012638	0	0.896276	0.871472	,SOCS3,ANKRD1,IGFBP6,IL11
miR-3086-5p	0.1389	0.0872	0.0773	0.4681	161	227	0.226547	0.012717	0	0.890709	0.871472	,ANXA3,IL11
miR-290-5p/292-5p/371-5p/293	0.2778	0.2047	0.1101	0.7558	162	228	0.227545	0.012796	0	0.889111	0.871472	,ARRDC3,EGR1
miR-5118	0.1389	0.0903	0.0745	0.6662	163	229	0.228543	0.012875	0	0.887532	0.871472	,CYR61,GPCPD1
miR-3087	0.1944	0.1299	0.0933	0.5711	164	230	0.229541	0.012954	0	0.885972	0.871472	,SOCS3,IL11,MBL2
miR-466bco-5p	0.1944	0.1309	0.0932	0.5215	165	231	0.230539	0.013033	0	0.884431	0.871472	,SNX3,TMSB4X,LCK
miR-466n-5p	0.2917	0.2119	0.1217	0.6918	166	235	0.234531	0.013112	0	0.894326	0.871472	,SOCS3,MBL2,LCK
miR-448/448-3p	0.2222	0.1534	0.1036	0.5873	167	236	0.235529	0.013191	0	0.892753	0.871472	,ARRDC3,TMSB4X
miR-452-5p	0.2083	0.1427	0.0907	0.4824	168	236	0.235529	0.013270	0	0.887439	0.871472	,CYR61,ARRDC3,ANKRD1
miR-5129	0.2639	0.1911	0.1139	0.6465	169	239	0.238523	0.013349	0	0.893403	0.871472	,SNX3,ARRDC3,CYP24A1,IL11
miR-331-5p	0.1250	0.0802	0.0718	0.3732	170	240	0.239521	0.013428	0	0.891863	0.871472	,CYR61,FOS
miR-3082-5p/4797-5p	0.3472	0.2524	0.1289	0.8091	171	241	0.240519	0.013507	0	0.890342	0.871472	,CYR61,ARRDC3,CYP24A1,GPCPD1,LCK
miR-3967	0.1806	0.1221	0.0871	0.5051	172	242	0.241517	0.013586	0	0.888839	0.871472	,SOCS3,IL11
miR-544/544ab/544-3p	0.2917	0.2188	0.1178	0.8027	173	243	0.242515	0.013665	0	0.887352	0.871472	,CYR61,SNX3,GPCPD1
miR-201	0.2222	0.1594	0.0947	0.5285	174	245	0.244511	0.013744	0	0.889514	0.871472	,ARRDC3,ANKRD1,EGR1
miR-1756b/1896	0.3472	0.2685	0.1301	0.9597	175	246	0.245509	0.013823	0	0.888041	0.871472	,ARRDC3,CYP24A1,FOS,IL11,MBL2
miR-208ab-5p	0.2917	0.2151	0.1188	0.6735	176	247	0.246507	0.013902	0	0.886585	0.871472	,ANKRD1,CYP24A1,TMSB4X,IL11,MBL2
miR-3074-2-3p	0.2500	0.1868	0.1096	0.9263	177	248	0.247505	0.013981	0	0.885145	0.871472	,ARRDC3,EGR1,FOS
miR-695	0.1111	0.0741	0.0706	0.5086	178	249	0.248503	0.014060	0	0.883721	0.871472	,CYP24A1,GPCPD1
miR-5103	0.0556	0.0279	0.0412	0.2414	179	249	0.248503	0.014139	0	0.878784	0.871472	,CYR61
